iter	Passed	Remaining
921	9216	779
922	9221	769
923	9227	758
924	9232	748
925	9237	738
926	9243	727
927	9250	717
928	9256	707
929	9262	697
930	9270	687
931	9276	676
932	9284	666
933	9291	656
934	9297	646
935	9304	636
936	9310	625
937	9318	615
938	9324	605
939	9330	595
940	9337	585
941	9343	575
942	9350	565
943	9356	555
944	9362	544
945	9368	534
946	9374	524
947	9384	514
948	9391	504
949	9400	494
950	9406	484
951	9413	474
952	9420	464
953	9425	454
954	9430	444
955	9436	434
956	9441	424
957	9448	414
958	9452	404
959	9457	394
960	9464	384
961	9470	374
962	9475	364
963	9481	354
964	9487	344
965	9492	334
966	9499	324
967	9504	314
968	9511	304
969	9517	294
970	9522	284
971	9529	274
972	9535	264
973	9542	254
974	9550	244
975	9555	234
976	9562	225
977	9569	215
978	9579	205
979	9584	195
980	9592	185
981	9598	175
982	9604	166
983	9612	156
984	9619	146
985	9628	136
986	9633	126
987	9640	117
988	9647	107
989	9989	966990	9666	87
991	9674	78
992	9681	68
993	9685	58
994	9691	48
995	9696	38
996	9701	29
997	9706	19
998	9709	9
999	9713	0
21	0
999	9726	0
